iter	Passed	Remaining
929	19694	86191
930	19716	86171
931	19740	86164
932	19763	86151
933	19785	86130
934	19804	86102
935	19824	86073
936	19842	86042
937	19866	86031
938	19886	86005
939	19907	85983
940	19928	85959
941	19948	85933
942	19967	85906
943	19989	85886
944	20009	85859
945	20031	85842
946	20052	85820
947	20071	85788
948	20096	85785
949	20117	85763
950	20136	85734
951	20155	85703
952	20176	85679
953	20196	85655
954	20217	85634
955	20240	85619
956	20268	85625
957	20293	85620
958	20319	85622
959	20345	85620
960	20371	85619
961	20403	85641
962	20432	85656
963	20459	85660
964	20487	85664
965	20517	85679
966	20540	85666
967	20566	85664
968	20600	85697
969	20628	85703
970	20659	85724
971	20688	85731
972	20716	85739
973	20744	85746
974	20772	85754
975	20799	85756
976	20825	85754
977	20848	85738
978	20867	85709
979	20887	85682
980	20910	85666
981	20937	85667
982	20962	85661
983	20997	85699
984	21023	85695
985	21047	85684
986	21073	85682
987	21098	85673
988	21117	85644
989	21140	85628
990	21157	85592
991	21178	85567
992	21197	85537
993	21216	85507
994	21234	85472
995	21254	85446
996	21274	85416
997	21293	85386
998	21312	85357
999	21329	85318
1000	21347	85282
1001	21366	85254
1002	21385	85222
1003	21406	85198
1004	21425	85168
1005	21446	85145
1006	21465	85116
1007	21484	85086
1008	21504	85059
1009	21534	85070
1010	21555	85050
1011	21575	85023
1012	21597	85002
1013	21616	84975
1014	21637	84949
1015	21659	84930
1016	21680	84909
1017	21700	84883
1018	21721	84859
1019	21743	84842
1020	21768	84836
1021	21798	84846
1022	21827	84854
1023	21853	84851
1024	21885	84873
1025	21914	84879
1026	21941	84880
1027	21971	84895
1028	22000	84899
1029	22027	84902
1030	22053	84900
1031	22081	84902
1032	22123	84960
1033	22148	84953
1034	22175	84951
1035	22202	84951
1036	22227	84943
1037	22247	84919
1038	22278	84930
1039	22299	84910
1040	22321	84888
1041	22348	84891
1042	22376	84893
1043	22402	84888
1044	22431	84894
1045	22458	84894
1046	22485	84896
1047	22517	84912
1048	22545	84915
1049	22572	84916
1050	22596	84902
1051	22615	84873
1052	22637	84854
1053	22658	84830
1054	22679	84805
1055	22700	84783
1056	22720	84755
1057	22741	84734
1058	22762	84708
1059	22782	84682
1060	22803	84657
1061	22822	84626
1062	22842	84602
1063	22864	84581
1064	22884	84552
1065	22912	84555
1066	22933	84534
1067	22955	84515
1068	22975	84487
1069	22997	84465
1070	23017	84441
1071	23043	84434
1072	23064	84412
1073	23085	84390
1074	23112	84386
1075	23144	84403
1076	23168	84392
1077	23196	84393
1078	23226	84401
