iter	Passed	Remaining
737	68538	24331
738	68626	24237
739	68707	24140
740	68792	24044
741	68874	23948
742	68961	23853
743	69051	23759
744	69139	23665
745	69234	23573
746	69315	23476
747	69397	23380
748	69493	23288
749	69579	23193
750	69673	23100
751	69761	23006
752	69843	22910
753	69927	22814
754	70019	22721
755	70113	22629
756	70195	22533
757	70284	22439
758	70371	22344
759	70454	22248
760	70538	22153
761	70621	22057
762	70712	21964
763	70803	21871
764	70898	21779
765	70986	21685
766	71082	21593
767	71167	21498
768	71253	21403
769	71347	21311
770	71437	21218
771	71518	21122
772	71601	21026
773	71687	20932
774	71776	20838
775	71861	20743
776	71945	20648
777	72034	20554
778	72120	20460
779	72209	20366
780	72293	20271
781	72384	20178
782	72468	20083
783	72555	19989
784	72646	19896
785	72743	19805
786	72832	19712
787	72922	19618
788	73004	19523
789	73085	19427
790	73178	19335
791	73263	19240
792	73347	19146
793	73430	19051
794	73514	18956
795	73598	18862
796	73688	18768
797	73789	18678
798	73871	18583
799	73961	18490
800	74046	18396
801	74130	18301
802	74224	18209
803	74309	18115
804	74390	18020
805	74474	17925
806	74562	17832
807	74646	17737
808	74732	17643
809	74818	17550
810	74902	17455
811	74988	17361
812	75083	17270
813	75167	17175
814	75257	17083
815	75340	16988
816	75435	16896
817	75523	16803
818	75608	16709
819	75698	16616
820	75784	16523
821	75868	16428
822	75949	16334
823	76033	16240
824	76114	16145
825	76209	16053
826	76297	15960
827	76382	15866
828	76469	15773
829	76551	15679
830	76632	15584
831	76728	15493
832	76815	15400
833	76910	15308
834	76993	15214
835	77074	15119
836	77160	15026
837	77243	14932
838	77327	14838
839	77415	14745
840	77498	14651
841	77584	14558
842	77671	14465
843	77764	14373
844	77854	14281
845	77936	14186
846	78038	14096
847	78122	14003
848	78206	13909
849	78302	13818
850	78389	13725
851	78483	13633
852	78579	13541
853	78669	13449
854	78765	13357
855	78867	13267
856	78961	13175
857	79062	13084
858	79160	12993
859	79256	12902
860	79340	12808
861	79430	12716
862	79524	12624
863	79618	12532
864	79709	12440
865	79800	12347
866	79891	12255
867	79973	12161
868	80058	12068
869	80140	11974
870	80223	11881
871	80312	11789
872	80408	11697
873	80499	11605
874	80588	11512
875	80674	11419
876	80759	11326
877	80838	11232
878	80930	11140
879	81011	11046
880	81088	10952
881	81184	10861
882	81280	10769
883	81375	10678
884	81467	10586
885	81548	10492
886	81631	10399
887	81722	10307
888	81822	10216
889	81927	10125
890	82021	10034
891	82115	9942
892	82198	9849
893	82280	9755
894	82370	9663
895	82458	9571
896	82538	9477
897	82625	9385
898	82713	9292
899	82794	9199
900	82887	9107
901	82981	9015
902	83061	8922
903	83140	8829
904	83225	8736
905	83310	8643
906	83405	8552
907	83503	8460
908	83606	8369
909	83687	8276
910	83781	8184
911	83884	8094
912	83973	8001
913	84060	7909
914	84153	7817
915	84246	7725
916	84335	7633
917	84413	7540
918	84501	7447
919	84587	7355
920	84679	7263
921	84760	7170
922	84844	7078
923	84926	6985
924	85009	6892
925	85093	6800
926	85174	6707
927	85258	6614
928	85348	6522
929	85432	6430
930	85520	6338
931	85602	6245
932	85692	6153
933	85784	6061
934	85868	5969
935	85955	5877
936	86044	5785
937	86130	5693
938	86210	5600
939	86293	5508
940	86374	5415
941	86466	5323
942	86547	5231
943	86629	5139
944	86714	5046
945	86803	4954
946	86891	4862
947	86983	4771
948	87062	4678
949	87153	4587
950	87244	4495
951	87326	4403
952	87411	4310
953	87503	4219
954	87587	4127
955	87672	4035
956	87769	3943
957	87855	3851
958	87939	3759
959	88026	3667
960	88114	3575
961	88201	3484
962	88285	3392
963	88364	3299
964	88448	3207
965	88534	3116
966	88619	3024
967	88707	2932
968	88789	2840
969	88881	2748
970	88970	2657
971	89070	2565
972	89158	2474
973	89240	2382
974	89326	2290
975	89416	2198
976	89511	2107
977	89602	2015
978	89701	1924
979	89786	1832
980	89873	1740
981	89960	1648
